t,Temp_May,Temp_Aug,Temp_Dec,IR_May,IR_Aug,IR_Dec
1,24.56698729810778,26.56698729810778,23.56698729810778,0.0,0.0,0.0
2,24.517037086855467,26.517037086855467,23.517037086855467,0.0,0.0,0.0
3,24.5,26.5,23.5,0.0,0.0,0.0
4,24.517037086855467,26.517037086855467,23.517037086855467,0.0,0.0,0.0
5,24.56698729810778,26.56698729810778,23.56698729810778,0.0,0.0,0.0
6,24.646446609406727,26.646446609406727,23.646446609406727,5.185190476190476,0.3871666666666666,0.0
7,24.75,26.75,23.75,124.35902380952379,87.10258333333333,0.9199761904761903
8,24.87059047744874,26.87059047744874,23.87059047744874,439.1925198412697,475.78150000000016,92.8259761904762
9,25.0,27.0,24.0,987.2131944444443,929.2737916666669,563.8820555555556
10,25.12940952255126,27.12940952255126,24.12940952255126,1320.0571865079362,1232.3633333333337,923.3013888888892
11,25.25,27.25,24.25,1447.778611111111,1638.918916666667,1012.2104444444444
12,25.353553390593273,27.353553390593273,24.353553390593273,1567.9718769841272,1823.7921666666664,1279.122928571429
13,25.43301270189222,27.43301270189222,24.43301270189222,1645.0691190476196,1906.2769583333336,1281.0154761904762
14,25.482962913144533,27.482962913144533,24.482962913144533,1664.304642857143,1776.0280416666667,1245.8628809523807
15,25.5,27.5,24.5,1461.907333333334,1678.5026249999999,990.493074404762
16,25.482962913144533,27.482962913144533,24.482962913144533,1187.1742380952383,1410.216666666667,626.484777777778
17,25.43301270189222,27.43301270189222,24.43301270189222,883.6644285714286,815.4129583333336,322.3534613095237
18,25.353553390593273,27.353553390593273,24.353553390593273,528.8284285714287,525.104,58.26778571428573
19,25.25,27.25,24.25,167.62047619047618,135.993,0.2294285714285717
20,25.12940952255126,27.12940952255126,24.12940952255126,2.373809523809524,2.9493750000000003,0.0
21,25.0,27.0,24.0,0.0,0.0,0.0
22,24.87059047744874,26.87059047744874,23.87059047744874,0.0,0.0,0.0
23,24.75,26.75,23.75,0.0,0.0,0.0
24,24.646446609406727,26.646446609406727,23.646446609406727,0.0,0.0,0.0
